Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.00979e+07,610,123,118
1.0108e+07,690,230,230
1.00645e+07,240,78,78
1.01055e+07,715,235,235
1.0056e+07,156,45,45
1.02211e+07,1949,804,797
1.00525e+07,121,38,38
1.00641e+07,251,66,66
1.00448e+07,26,18,18
1.01097e+07,720,241,238
1.01404e+07,1046,299,295
1.00582e+07,206,33,33
1.00586e+07,170,80,80
1.00425e+07,11,8,8
1.01314e+07,907,382,380
1.00434e+07,19,12,12
1.00496e+07,93,20,20
1.00427e+07,12,12,12
1.02211e+07,1949,804,797
1.00884e+07,514,166,166
1.00725e+07,322,70,62
1.01056e+07,818,22,22
1.00574e+07,186,37,37
1.00827e+07,429,138,132
1.00703e+07,296,143,143
1.00755e+07,388,101,98
1.01407e+07,1006,458,456
1.02211e+07,1949,804,797
1.00758e+07,329,128,127
1.00535e+07,180,10,10
1.00684e+07,292,95,95
1.00772e+07,383,110,110
1.0129e+07,1196,4,4
1.00825e+07,411,127,119
1.00604e+07,206,36,36
1.01283e+07,850,434,434
1.01354e+07,940,397,397
1.01214e+07,768,262,254
1.00448e+07,32,13,13
1.00432e+07,21,5,5
1.0042e+07,9,4,4
1.01157e+07,816,233,233
1.00429e+07,22,6,6
1.00425e+07,12,6,6
1.00755e+07,379,132,132
1.00929e+07,543,186,175
1.00954e+07,587,183,148
1.00952e+07,571,184,184
1.00521e+07,103,43,43
1.00429e+07,24,2,2
1.00539e+07,109,52,52
1.00452e+07,32,20,20
1.01055e+07,673,215,208
1.01291e+07,935,282,278
1.00945e+07,540,179,178
1.00962e+07,593,192,192
1.01094e+07,938,3,3
1.01011e+07,623,207,204
1.01515e+07,1051,475,474
1.00514e+07,94,26,26
1.00734e+07,355,90,85
1.00884e+07,440,134,129
1.00481e+07,88,10,10
1.00536e+07,159,23,23
1.00675e+07,230,119,119
1.00698e+07,330,85,85
1.00458e+07,46,12,12
1.02211e+07,1949,804,797
1.00509e+07,140,21,21
1.0052e+07,110,45,45
1.0088e+07,607,2,2
1.00549e+07,166,7,7
1.00524e+07,100,47,47
1.0046e+07,46,17,17
1.00587e+07,196,49,49
1.00492e+07,73,33,33
1.00546e+07,167,23,23
1.02211e+07,1949,804,797
1.01592e+07,1232,462,459
1.01476e+07,1158,372,362
1.00483e+07,88,13,13
1.00518e+07,115,35,35
1.00581e+07,156,68,68
1.0068e+07,266,84,84
1.00661e+07,233,92,92
1.00635e+07,242,43,43
1.00497e+07,77,37,37
1.00435e+07,18,11,11
1.00924e+07,561,190,189
1.00519e+07,115,28,28
1.00476e+07,63,18,18
1.00464e+07,63,10,10
1.00607e+07,193,75,69
1.00502e+07,118,17,17
1.01473e+07,1018,416,416
1.00763e+07,383,93,85
