Space cost (bytes),# TPG edges,# Upper-bound edges,# TSPG edges
1.34158e+06,1,1,1
1.34519e+06,35,20,20
1.34495e+06,25,23,23
1.35907e+06,140,115,115
1.34168e+06,2,2,2
1.34268e+06,8,8,8
1.37264e+06,227,205,205
1.3431e+06,11,11,11
1.34173e+06,2,2,2
1.34298e+06,11,11,11
1.34199e+06,5,3,3
1.35375e+06,119,65,64
1.34378e+06,17,13,13
1.34379e+06,18,14,14
1.34316e+06,11,11,11
1.34173e+06,2,2,2
1.34179e+06,3,3,3
1.34194e+06,4,4,4
1.34272e+06,10,10,10
1.34179e+06,3,3,3
1.34273e+06,9,9,9
1.34158e+06,1,1,1
1.34268e+06,9,9,9
1.34158e+06,1,1,1
1.34266e+06,9,9,9
1.35388e+06,105,68,68
1.34307e+06,12,10,10
1.37036e+06,240,163,162
1.34218e+06,5,5,5
1.36392e+06,188,117,115
1.3445e+06,20,20,20
1.34286e+06,11,9,9
1.35732e+06,117,114,114
1.34394e+06,20,20,20
1.35961e+06,150,128,128
1.39304e+06,456,282,274
1.34312e+06,12,12,12
1.34194e+06,4,4,4
1.34211e+06,6,6,6
1.34157e+06,1,1,1
1.34606e+06,30,30,30
1.35308e+06,89,79,79
1.3925e+06,408,368,367
1.3563e+06,137,90,90
1.36482e+06,203,162,161
1.34644e+06,47,32,32
1.35132e+06,74,60,60
1.35326e+06,83,83,83
1.34526e+06,26,26,26
1.35156e+06,81,73,73
1.34292e+06,12,10,9
1.36907e+06,249,180,179
1.34862e+06,55,52,52
1.3428e+06,10,10,10
1.34206e+06,5,5,5
1.34303e+06,17,7,7
1.34371e+06,17,14,14
1.34172e+06,2,2,2
1.34821e+06,78,6,6
1.34313e+06,14,9,9
1.36429e+06,213,154,154
1.34252e+06,8,6,6
1.34211e+06,5,5,5
1.34298e+06,11,11,11
1.35578e+06,129,107,107
1.34168e+06,2,2,2
1.36396e+06,176,140,140
1.34237e+06,6,6,6
1.34301e+06,11,11,11
1.36072e+06,167,118,114
1.34227e+06,6,6,6
1.34194e+06,4,4,4
1.34281e+06,9,9,9
1.34596e+06,32,31,31
1.36188e+06,173,144,144
1.34296e+06,11,11,11
1.36427e+06,183,154,152
1.34207e+06,4,4,4
1.46091e+06,1022,867,855
1.34402e+06,17,17,17
1.34539e+06,29,23,23
1.34266e+06,8,8,8
1.37921e+06,325,263,263
1.34172e+06,2,2,2
1.35443e+06,89,81,81
1.3445e+06,25,17,17
1.34501e+06,23,23,23
1.34249e+06,7,7,7
1.34274e+06,9,7,7
1.34263e+06,8,6,6
1.34926e+06,69,39,39
1.34386e+06,21,19,19
1.34266e+06,9,9,9
1.34172e+06,2,2,2
1.34736e+06,43,43,43
1.34618e+06,40,34,34
1.34204e+06,5,5,5
1.39772e+06,437,364,364
1.34185e+06,3,3,3
1.34312e+06,12,12,12
1.34248e+06,7,7,7
1.34269e+06,11,7,7
1.34183e+06,3,3,3
1.34288e+06,12,12,12
1.35066e+06,74,61,61
1.34433e+06,18,18,18
1.34443e+06,20,20,20
1.34158e+06,1,1,1
1.34455e+06,41,2,2
1.34645e+06,35,33,33
1.3765e+06,274,217,201
1.34269e+06,8,8,8
1.34312e+06,12,12,12
1.34583e+06,30,30,30
1.3425e+06,7,7,7
1.34305e+06,10,10,10
1.34288e+06,10,10,10
1.3456e+06,31,31,31
1.34431e+06,20,20,20
1.34279e+06,9,9,9
1.34206e+06,4,4,4
1.34248e+06,7,7,7
1.34266e+06,8,8,8
1.344e+06,18,15,15
1.34449e+06,24,24,24
1.34189e+06,4,4,4
1.34238e+06,6,6,6
1.34472e+06,23,23,23
1.3503e+06,63,54,54
1.34663e+06,42,39,39
1.34272e+06,8,8,8
1.3419e+06,3,3,3
1.38579e+06,391,260,255
1.34201e+06,4,4,4
1.34169e+06,2,2,2
1.34383e+06,16,16,16
1.35912e+06,128,117,117
1.3419e+06,3,3,3
1.3428e+06,9,9,9
1.34714e+06,44,44,44
1.34307e+06,12,9,9
1.34451e+06,23,23,23
1.43603e+06,802,684,682
1.34224e+06,6,6,6
1.34202e+06,4,4,4
1.34336e+06,12,12,12
1.34158e+06,1,1,1
1.36055e+06,176,71,71
1.34259e+06,8,8,8
1.37762e+06,285,233,233
1.34569e+06,33,33,33
