Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
4.50146e+07,1,1,1
4.5017e+07,24,10,10
4.50837e+07,655,261,261
4.50167e+07,21,9,9
4.50145e+07,1,1,1
4.50522e+07,357,141,141
4.50418e+07,238,86,86
4.50237e+07,65,50,50
4.50146e+07,1,1,1
4.50146e+07,1,1,1
4.50146e+07,1,1,1
4.55251e+07,4624,2108,2103
4.51014e+07,700,358,358
4.50893e+07,714,284,283
4.50146e+07,1,1,1
4.50146e+07,1,1,1
4.50146e+07,1,1,1
4.50197e+07,45,21,21
4.50149e+07,4,4,4
4.50183e+07,29,21,21
4.5015e+07,4,4,4
4.50145e+07,1,1,1
4.51758e+07,1309,721,721
4.57508e+07,6691,3282,3249
4.50163e+07,19,5,5
4.5015e+07,5,5,5
4.50147e+07,3,3,3
4.50161e+07,13,11,11
4.50196e+07,46,20,20
4.50157e+07,10,8,8
4.50612e+07,398,140,140
4.50206e+07,38,37,37
4.50146e+07,1,1,1
4.5015e+07,5,5,5
4.50605e+07,393,195,195
4.50163e+07,21,6,6
4.50179e+07,29,15,15
4.50146e+07,2,2,2
4.50145e+07,1,1,1
4.51707e+07,1370,681,681
4.51372e+07,1095,494,494
4.50155e+07,13,3,3
4.50173e+07,21,12,12
4.5017e+07,24,10,10
4.50204e+07,56,24,24
4.54411e+07,3846,1834,1825
4.50155e+07,9,5,5
4.50158e+07,10,8,8
4.50174e+07,25,17,17
4.50579e+07,335,197,197
4.502e+07,39,27,27
4.50161e+07,11,11,11
4.5199e+07,1573,786,786
4.5019e+07,36,21,21
4.52464e+07,2039,961,961
4.50288e+07,128,55,55
4.50151e+07,7,3,3
4.50145e+07,1,1,1
4.50258e+07,89,42,42
4.50308e+07,127,86,86
4.50281e+07,108,58,58
4.50328e+07,171,64,64
4.53806e+07,3242,1621,1599
4.5054e+07,363,113,113
4.50162e+07,12,12,12
4.50199e+07,46,25,25
4.5018e+07,27,15,15
4.5035e+07,153,101,101
4.50628e+07,447,184,184
4.50207e+07,54,30,30
4.50351e+07,192,80,80
4.50537e+07,365,182,182
4.50922e+07,624,338,338
4.50148e+07,3,2,2
4.50343e+07,208,19,19
4.50258e+07,108,32,32
4.50161e+07,15,7,7
4.50145e+07,1,1,1
4.50311e+07,143,74,74
4.5015e+07,5,5,5
4.50471e+07,278,139,139
4.50409e+07,226,103,103
4.50146e+07,1,1,1
4.50146e+07,1,1,1
4.50413e+07,222,133,133
4.50148e+07,3,3,3
4.54496e+07,3759,1794,1794
4.50148e+07,3,3,3
4.50196e+07,36,22,22
4.50149e+07,4,4,4
4.53604e+07,2940,1514,1514
4.52205e+07,1884,721,718
4.51561e+07,1193,617,617
4.52718e+07,2248,1112,1109
4.50522e+07,371,115,115
4.50167e+07,22,11,11
4.50471e+07,312,75,71
4.50147e+07,2,2,2
4.50201e+07,44,26,26
4.50402e+07,216,112,112
4.50165e+07,18,10,10
4.50146e+07,2,2,2
4.50173e+07,26,11,11
4.50181e+07,37,16,16
4.50145e+07,1,1,1
4.50426e+07,287,83,83
4.50156e+07,10,8,8
4.50167e+07,14,13,13
4.50227e+07,60,37,37
4.50146e+07,1,1,1
4.50177e+07,26,12,12
4.50184e+07,33,18,18
4.50206e+07,54,19,19
4.57481e+07,6793,3543,3512
4.50147e+07,2,2,2
4.50148e+07,3,2,2
4.5034e+07,204,78,75
4.56398e+07,5808,3149,3149
4.50146e+07,1,1,1
4.50146e+07,1,1,1
4.50456e+07,255,112,112
4.50298e+07,124,72,72
4.50267e+07,108,43,43
