Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.26674e+07,807,443,443
1.2584e+07,29,12,12
1.25818e+07,4,4,4
1.26513e+07,577,364,363
1.26395e+07,562,211,207
1.25827e+07,12,6,6
1.25854e+07,47,9,9
1.26153e+07,324,127,125
1.25853e+07,42,12,12
1.2606e+07,236,99,91
1.25836e+07,19,13,13
1.25821e+07,7,5,5
1.25995e+07,178,75,75
1.25854e+07,39,16,16
1.25818e+07,4,4,4
1.25837e+07,23,10,10
1.25822e+07,9,4,4
1.2583e+07,21,4,4
1.25823e+07,8,7,7
1.25886e+07,75,23,23
1.26544e+07,670,337,333
1.25872e+07,76,14,14
1.26839e+07,955,524,523
1.25865e+07,51,20,20
1.25822e+07,7,7,7
1.25827e+07,16,5,5
1.25872e+07,51,28,28
1.25844e+07,33,11,11
1.26146e+07,307,151,151
1.25878e+07,51,37,37
1.25838e+07,24,12,12
1.25837e+07,26,5,5
1.25869e+07,54,19,19
1.26097e+07,257,102,102
1.25859e+07,44,14,14
1.25848e+07,34,15,15
1.25912e+07,100,39,39
1.2582e+07,6,5,5
1.25989e+07,170,67,67
1.2582e+07,5,5,5
1.26171e+07,357,134,131
1.25845e+07,22,17,17
1.26018e+07,185,82,82
1.25862e+07,64,2,2
1.26062e+07,205,138,138
1.25855e+07,36,25,25
1.25845e+07,26,17,17
1.25823e+07,10,6,6
1.25863e+07,55,14,14
1.25954e+07,132,50,46
1.25837e+07,19,13,13
1.25816e+07,3,3,3
1.25846e+07,36,11,11
1.25869e+07,66,9,9
1.25858e+07,41,14,14
1.25822e+07,9,5,5
1.25844e+07,25,18,18
1.25886e+07,65,25,25
1.26243e+07,408,193,193
1.26682e+07,877,382,376
1.26248e+07,433,181,181
1.25825e+07,13,4,4
1.25826e+07,13,5,5
1.25856e+07,54,4,4
1.2631e+07,474,198,198
1.26209e+07,315,211,211
1.25865e+07,38,26,26
1.25833e+07,22,7,7
1.26941e+07,1018,516,516
1.25831e+07,17,9,9
1.25863e+07,42,22,22
1.25964e+07,152,37,36
1.25985e+07,163,65,65
1.25857e+07,36,16,16
1.25908e+07,90,28,28
1.25882e+07,61,26,26
1.25901e+07,75,46,46
1.25862e+07,44,18,18
1.26123e+07,268,125,125
1.25989e+07,191,58,58
1.2583e+07,16,9,9
1.26023e+07,185,93,93
1.25865e+07,48,23,23
1.25825e+07,10,6,6
1.25897e+07,87,26,26
1.25832e+07,19,7,7
1.25834e+07,26,6,6
1.25891e+07,62,34,34
1.26144e+07,374,112,107
1.26148e+07,302,107,96
1.25918e+07,86,34,34
1.25912e+07,85,28,28
1.25824e+07,11,5,5
1.25848e+07,38,7,7
1.2589e+07,80,23,23
1.25863e+07,53,15,15
1.25967e+07,119,64,64
1.25881e+07,61,30,30
1.2587e+07,41,27,27
1.25836e+07,19,13,13
1.26449e+07,602,327,326
1.25822e+07,8,5,5
1.25872e+07,47,30,30
1.25832e+07,15,11,11
1.25862e+07,49,13,13
1.25865e+07,43,27,27
1.25899e+07,84,33,33
1.26146e+07,305,112,111
1.25836e+07,19,13,13
1.25831e+07,14,12,12
1.25836e+07,23,7,7
1.26132e+07,310,106,106
1.25847e+07,36,9,9
1.25868e+07,39,28,28
1.25832e+07,13,12,12
1.26761e+07,920,440,438
1.25941e+07,106,60,60
1.25907e+07,104,22,22
1.25825e+07,8,7,7
1.25832e+07,19,8,8
1.2588e+07,91,2,2
1.2591e+07,80,44,44
1.25932e+07,111,41,41
1.25861e+07,48,17,17
1.25862e+07,48,22,22
1.27135e+07,1267,682,682
1.25831e+07,18,9,9
1.26513e+07,618,286,283
1.25828e+07,24,2,2
1.25842e+07,24,13,13
1.25847e+07,35,7,7
1.25854e+07,39,15,15
1.25827e+07,13,6,6
1.25825e+07,10,7,7
1.25908e+07,80,44,44
1.25832e+07,15,12,12
1.25821e+07,6,6,6
1.25884e+07,75,19,19
1.26025e+07,185,88,88
1.25841e+07,27,13,13
1.2583e+07,14,11,11
1.25886e+07,60,30,30
1.25867e+07,48,21,21
1.25836e+07,19,13,13
1.25913e+07,96,36,36
1.26167e+07,330,142,142
1.25833e+07,17,9,9
1.25826e+07,15,4,4
1.25851e+07,33,22,22
1.25824e+07,8,8,8
1.2582e+07,5,5,5
1.25939e+07,124,41,41
1.25823e+07,7,6,6
1.2582e+07,6,4,4
1.25856e+07,41,16,16
1.26029e+07,205,53,53
1.25942e+07,109,44,44
1.25819e+07,5,5,5
1.25821e+07,12,2,2
1.2585e+07,33,18,18
1.25832e+07,13,11,11
1.2599e+07,163,62,62
1.25866e+07,44,21,21
1.25886e+07,65,27,27
1.26137e+07,300,153,153
1.25849e+07,36,11,11
1.26403e+07,552,312,312
1.25833e+07,17,13,13
1.25836e+07,23,7,7
1.25846e+07,26,15,15
1.25879e+07,50,31,31
1.25859e+07,40,26,26
1.25827e+07,14,7,7
1.25845e+07,30,9,9
1.26194e+07,379,145,145
1.26044e+07,262,50,49
1.27173e+07,1308,770,769
1.26205e+07,333,189,189
1.26142e+07,301,138,136
1.26075e+07,263,93,93
1.25853e+07,41,11,11
1.2592e+07,83,58,58
1.25947e+07,124,46,46
1.25959e+07,130,69,69
1.2582e+07,5,5,5
1.25882e+07,70,28,28
1.25858e+07,45,19,19
1.25827e+07,13,9,9
1.25845e+07,40,7,7
1.25894e+07,84,27,27
1.26014e+07,189,96,96
1.2594e+07,133,34,34
1.26035e+07,224,86,86
1.25873e+07,54,21,21
1.25921e+07,120,24,24
1.25834e+07,18,13,13
1.25823e+07,9,9,9
1.26198e+07,354,149,146
1.25835e+07,21,10,10
1.25819e+07,7,4,4
1.25821e+07,8,4,4
1.25877e+07,64,18,18
1.26205e+07,386,182,179
1.26428e+07,644,273,272
1.25849e+07,29,19,19
1.25821e+07,7,5,5
1.25953e+07,128,42,41
1.25842e+07,20,18,18
1.264e+07,662,187,182
1.25951e+07,122,54,54
1.25994e+07,136,80,80
1.25883e+07,75,16,16
1.25898e+07,81,41,41
1.26441e+07,571,260,259
1.25878e+07,55,30,30
1.25856e+07,42,15,15
1.25817e+07,5,2,2
1.25925e+07,114,38,38
1.25978e+07,146,78,78
1.25827e+07,15,7,7
1.25845e+07,26,16,16
1.25854e+07,39,21,21
1.26162e+07,346,132,131
1.25826e+07,9,9,9
1.25922e+07,124,32,32
1.25892e+07,85,21,21
