Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
3.20196e+06,991,683,683
3.09076e+06,11,7,7
3.08936e+06,1,1,1
3.08936e+06,1,1,1
3.08936e+06,1,1,1
3.08968e+06,3,3,3
3.09647e+06,63,32,32
3.08934e+06,1,1,1
3.0899e+06,5,4,4
3.09158e+06,20,10,10
3.14008e+06,467,291,291
3.08974e+06,4,3,3
3.09284e+06,34,18,18
3.09082e+06,15,5,5
3.09002e+06,5,5,5
3.08983e+06,4,4,4
3.0897e+06,5,2,2
3.08973e+06,4,3,3
3.09101e+06,14,7,7
3.09381e+06,40,22,22
3.08935e+06,1,1,1
3.09673e+06,68,51,51
3.09058e+06,10,7,7
3.08988e+06,6,5,5
3.0895e+06,2,2,2
3.1341e+06,385,222,222
3.09232e+06,25,16,16
3.10259e+06,102,69,69
3.08948e+06,2,2,2
3.08937e+06,1,1,1
3.091e+06,16,7,7
3.08955e+06,3,2,2
3.08934e+06,1,1,1
3.09046e+06,17,2,2
3.08934e+06,1,1,1
3.08988e+06,6,5,5
3.09061e+06,9,9,9
3.09671e+06,64,38,38
3.11977e+06,280,121,121
3.0903e+06,7,6,6
3.0895e+06,2,2,2
3.09165e+06,20,15,15
3.08934e+06,1,1,1
3.08956e+06,3,3,3
3.09328e+06,34,17,17
3.09131e+06,18,10,10
3.09009e+06,9,4,4
3.08934e+06,1,1,1
3.09052e+06,12,11,11
3.08998e+06,9,3,3
3.08934e+06,1,1,1
3.09036e+06,10,7,7
3.09062e+06,15,4,4
3.08934e+06,1,1,1
3.09038e+06,12,4,4
3.09114e+06,19,5,5
3.09051e+06,9,7,7
3.08961e+06,3,3,3
3.08974e+06,4,3,3
3.08935e+06,1,1,1
3.0895e+06,2,2,2
3.09095e+06,16,8,8
3.08934e+06,1,1,1
3.10315e+06,112,74,74
3.08938e+06,1,1,1
3.09054e+06,9,8,8
3.09056e+06,10,7,7
3.09066e+06,17,4,4
3.17458e+06,799,529,527
3.09057e+06,13,7,7
3.09031e+06,14,2,2
3.08937e+06,1,1,1
3.09625e+06,57,37,37
3.0914e+06,17,13,13
3.09225e+06,24,14,14
3.09044e+06,9,8,8
3.08934e+06,1,1,1
3.0896e+06,3,3,3
3.09162e+06,19,10,10
3.10016e+06,110,35,35
3.08969e+06,3,3,3
3.09322e+06,33,22,22
3.09051e+06,8,7,7
3.09094e+06,14,8,8
3.08967e+06,3,3,3
3.08935e+06,1,1,1
3.09068e+06,12,6,6
3.09168e+06,20,14,14
3.12376e+06,297,153,152
3.08987e+06,5,4,4
3.09118e+06,17,10,10
3.09016e+06,8,5,5
3.08934e+06,1,1,1
