Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.46126e+07,1,1,1
1.46164e+07,41,9,9
1.46126e+07,1,1,1
1.46155e+07,27,11,11
1.46198e+07,75,36,36
1.46181e+07,53,22,22
1.46809e+07,684,307,307
1.46146e+07,19,11,11
1.46146e+07,21,8,8
1.4613e+07,5,5,5
1.46144e+07,22,7,7
1.4617e+07,35,27,27
1.46408e+07,284,108,106
1.46132e+07,6,5,5
1.46469e+07,300,130,130
1.46176e+07,72,8,8
1.46158e+07,24,18,18
1.46142e+07,20,6,6
1.46133e+07,10,3,3
1.46126e+07,1,1,1
1.46139e+07,15,5,5
1.4613e+07,6,2,2
1.4616e+07,34,17,17
1.46206e+07,71,40,40
1.46126e+07,1,1,1
1.46233e+07,107,39,39
1.46135e+07,11,4,4
1.4613e+07,5,2,2
1.46143e+07,17,10,10
1.46139e+07,12,9,9
1.46167e+07,64,2,2
1.46178e+07,49,22,22
1.4696e+07,753,396,388
1.46308e+07,158,86,86
1.46126e+07,1,1,1
1.4613e+07,5,3,3
1.46152e+07,26,13,13
1.46127e+07,2,2,2
1.46126e+07,1,1,1
1.46658e+07,561,194,183
1.46131e+07,6,5,5
1.46132e+07,7,4,4
1.46127e+07,2,2,2
1.4613e+07,5,5,5
1.46136e+07,16,2,2
1.46133e+07,8,4,4
1.46164e+07,31,23,23
1.46154e+07,24,18,18
1.46151e+07,29,6,6
1.46127e+07,2,2,2
1.46161e+07,30,17,17
1.46247e+07,120,49,49
1.46191e+07,60,21,21
1.46153e+07,31,7,7
1.46138e+07,12,6,6
1.46166e+07,44,16,16
1.4613e+07,4,4,4
1.46159e+07,29,14,14
1.46126e+07,1,1,1
1.46181e+07,51,26,26
1.46162e+07,27,16,16
1.46132e+07,8,3,3
1.46126e+07,1,1,1
1.47862e+07,1786,850,850
1.46169e+07,39,25,25
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46133e+07,6,5,5
1.46139e+07,10,8,8
1.46145e+07,22,5,5
1.46151e+07,25,12,12
1.46133e+07,7,6,6
1.46138e+07,16,6,6
1.46148e+07,27,6,6
1.46126e+07,1,1,1
1.46176e+07,54,8,8
1.46143e+07,18,7,7
1.46126e+07,1,1,1
1.46132e+07,5,4,4
1.46139e+07,17,4,4
1.46138e+07,18,4,4
1.46249e+07,120,32,32
1.46165e+07,33,19,19
1.46162e+07,23,19,19
1.46132e+07,7,4,4
1.46148e+07,35,4,4
1.46141e+07,20,7,7
1.4615e+07,23,15,15
1.46962e+07,780,334,333
1.46142e+07,18,11,11
1.46162e+07,41,9,9
1.46138e+07,14,6,6
1.4723e+07,1081,468,455
1.46126e+07,1,1,1
1.46166e+07,29,22,22
1.46315e+07,156,91,91
1.46352e+07,191,108,108
1.46399e+07,277,71,67
1.46174e+07,41,23,23
1.46128e+07,2,2,2
1.46563e+07,396,166,166
1.46178e+07,49,12,12
1.4639e+07,328,10,10
1.46138e+07,13,5,5
1.46146e+07,19,10,10
1.466e+07,517,224,221
1.46126e+07,1,1,1
1.46156e+07,38,10,10
1.46135e+07,8,8,8
1.46249e+07,150,15,15
1.46152e+07,32,6,6
1.46138e+07,16,4,4
1.46135e+07,11,4,4
1.46163e+07,38,13,13
1.46135e+07,14,3,3
1.46491e+07,340,162,162
1.46131e+07,7,3,3
1.4613e+07,3,3,3
1.46127e+07,1,1,1
1.4613e+07,5,2,2
1.46156e+07,31,10,10
1.46301e+07,168,62,62
1.47412e+07,1184,584,584
1.46127e+07,2,2,2
1.46138e+07,11,6,6
1.46149e+07,20,12,12
1.46253e+07,139,31,31
1.46138e+07,16,3,3
1.4613e+07,7,2,2
1.46126e+07,1,1,1
1.46226e+07,94,46,46
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46242e+07,138,24,24
1.46173e+07,52,14,14
1.46154e+07,24,12,12
1.4613e+07,5,3,3
1.46137e+07,15,3,3
1.46149e+07,25,6,6
1.46137e+07,14,7,7
1.4614e+07,14,6,6
1.46246e+07,154,16,16
1.46128e+07,2,2,2
1.46291e+07,189,52,52
1.46134e+07,8,8,8
1.46126e+07,1,1,1
1.46133e+07,12,2,2
1.46127e+07,2,2,2
1.46144e+07,25,3,3
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.4613e+07,6,2,2
1.46146e+07,18,13,13
1.46166e+07,49,5,5
1.4619e+07,58,30,30
1.46188e+07,66,20,20
1.46126e+07,1,1,1
1.46132e+07,9,2,2
1.46126e+07,1,1,1
1.46145e+07,15,13,13
1.46171e+07,42,19,19
1.46194e+07,64,24,24
1.46163e+07,45,16,16
1.46139e+07,12,7,7
1.46126e+07,1,1,1
1.4619e+07,58,33,33
1.46141e+07,19,7,7
