Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
3.31522e+07,1,1,1
3.31524e+07,2,2,2
3.31525e+07,3,3,3
3.31647e+07,127,35,35
3.31587e+07,63,25,25
3.31522e+07,1,1,1
3.31857e+07,349,96,96
3.319e+07,387,111,111
3.31561e+07,34,13,13
3.31965e+07,427,152,152
3.31894e+07,348,114,114
3.31528e+07,7,3,3
3.31626e+07,122,28,28
3.31522e+07,1,1,1
3.31778e+07,291,35,35
3.3343e+07,2426,2,2
3.31524e+07,3,3,3
3.319e+07,414,99,96
3.31525e+07,5,2,2
3.31793e+07,251,72,72
3.31524e+07,3,3,3
3.31529e+07,7,6,6
3.32394e+07,949,233,232
3.31723e+07,192,59,59
3.31566e+07,41,16,16
3.31525e+07,3,3,3
3.31566e+07,30,22,22
3.31893e+07,328,149,149
3.31526e+07,6,2,2
3.31526e+07,4,4,4
3.31522e+07,1,1,1
3.35234e+07,3566,1465,1459
3.32071e+07,515,179,179
3.32498e+07,1036,319,319
3.31798e+07,289,100,100
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31524e+07,3,3,3
3.31522e+07,1,1,1
3.31528e+07,6,5,5
3.31527e+07,7,3,3
3.32293e+07,767,183,182
3.31691e+07,152,78,78
3.31522e+07,1,1,1
3.31524e+07,2,2,2
3.32565e+07,1058,295,291
3.31577e+07,63,9,9
3.31573e+07,46,19,19
3.31538e+07,19,4,4
3.31525e+07,4,3,3
3.31525e+07,4,4,4
3.31524e+07,3,3,3
3.31553e+07,33,11,11
3.31559e+07,33,14,14
3.31853e+07,303,142,142
3.32174e+07,648,197,197
3.31522e+07,1,1,1
3.31571e+07,46,20,20
3.31552e+07,42,6,6
3.31726e+07,203,84,84
3.31555e+07,28,16,16
3.31531e+07,9,7,7
3.32585e+07,1044,341,341
3.31623e+07,97,52,52
3.31542e+07,25,3,3
3.31522e+07,1,1,1
3.31524e+07,3,3,3
3.31555e+07,45,5,5
3.31522e+07,1,1,1
3.31542e+07,20,7,7
3.31543e+07,21,10,10
3.31571e+07,52,13,13
3.31526e+07,7,2,2
3.31529e+07,7,5,5
3.31534e+07,12,6,6
3.31539e+07,29,2,2
3.31522e+07,1,1,1
3.31525e+07,3,3,3
3.31541e+07,19,8,8
3.31588e+07,59,29,29
3.31522e+07,1,1,1
3.31523e+07,2,2,2
3.31576e+07,50,20,20
3.31862e+07,332,102,100
3.31558e+07,38,17,17
3.31522e+07,1,1,1
3.31701e+07,195,15,15
3.31702e+07,168,85,85
3.31522e+07,1,1,1
3.31548e+07,33,5,5
3.31522e+07,1,1,1
3.31539e+07,18,9,9
3.31576e+07,51,15,15
3.31525e+07,4,2,2
3.31533e+07,12,4,4
3.31524e+07,2,2,2
3.31579e+07,74,8,8
3.32103e+07,563,190,190
3.31523e+07,2,2,2
3.3157e+07,50,14,14
3.31594e+07,62,29,29
3.31605e+07,89,25,25
3.31524e+07,2,2,2
3.33532e+07,2052,771,769
3.3172e+07,201,41,41
3.31647e+07,123,37,37
3.3189e+07,349,121,121
3.31524e+07,2,2,2
3.31539e+07,13,12,12
3.31525e+07,5,2,2
3.31527e+07,6,6,6
3.31556e+07,45,5,5
3.31563e+07,42,15,15
